ID,ENTITY_FULL_NAME,CLUSTER_WORLD,GRADE,WHAT,WHY,PARENT_CHILD_RELATION,MAY_SHARE_VISIT_BLOCK,COORD_ACCESS_CONFIDENCE,COVERAGE_STATUS,FINAL_CALENDAR_DISPOSITION,SOURCE_PROVENANCE,STABLE_SOURCE_ID
VNS-19,Tulsi Manas Temple (Varanasi),Varanasi/Sarnath,CONFLICT_UNRESOLVED,"Temple dedicated to Tulsidas, marble walls inscribed with the Ramcharitmanas","Temple commemorating Tulsidas, author of the vernacular Ramcharitmanas; literary/devotional pilgrimage relevance near the Durga Kund/Sankat Mochan temple zone. GRADE IS DISPUTED -- see CLOSED_FACTS_OPEN_VARIABLES.md Category 4 conflict register entry CR-2 before treating as A or B.","Standalone, near the Durga Kund/Sankat Mochan temple zone","Likely bundleable with that temple zone, not independently confirmed in this packet",Not independently re-verified in this packet; LIVE_RECHECK_LATER on exact access,"CONFLICT_UNRESOLVED -- see conflict register (CLOSED_FACTS_OPEN_VARIABLES.md Category 4, CR-2)",,"PROTECTED_CANON_BASELINE.csv id 035 (A, 2026-08-02) and decisions/FULL_A_COVERAGE_AND_GLOBAL_ROUTE_TOPOLOGY_REOPTIMIZATION_2026-09-09.md sec.3 item 6 (A) CONFLICT with runs/active/INDIA10-CLUSTER-COVERAGE-REAUDIT-001/CURRENT_OLD_A_PROMOTION_MASTER.md (2026-08-24, RESOLVED B) and runs/active/INDIA10-CLUSTER-COVERAGE-REAUDIT-001/A_PLUS_MARK_DECISION_LOG.md sec 'LATEST VARANASI ORDINARY GRADES -- MARK 2026-08-27' (B). Not resolved by CCI; see conflict register.",PERMANENT-035
VNS-20,Lahiri Mahasaya original/family house (Varanasi),Varanasi/Sarnath,A+,"Home associated with Lahiri Mahasaya, the Kriya Yoga guru",Direct Kriya-lineage significance for Mark,Standalone; access not safely guaranteed,Not confirmed; access-dependent,Current plan only says visit 'if exact access is confirmed' — access itself is the open variable,CONDITIONAL (grade upgraded A->A+; access itself remains the open variable),,"decisions/FULL_A_COVERAGE_AND_GLOBAL_ROUTE_TOPOLOGY_REOPTIMIZATION_2026-09-09.md sec.3 item 7 | GRADE CORRECTED to A+ per runs/active/INDIA10-CLUSTER-COVERAGE-REAUDIT-001/SELECTED_A_PLUS_ANCHOR_IDENTITY_BASELINE.md sec V1 (explicit 'Mark: A+', updated 2026-08-24) and A_PLUS_MARK_DECISION_LOG.md 'Varanasi Kriya core (Lahiri Mahasaya-huis + samadhi + Yogananda/Sri Yukteswar-zone) -- A+ parent' (2026-08-27, newer/more explicit than the [A] used by the 2026-09-09 audit seed, which self-describes as an unverified seed that 'does NOT change any Mark grade').",PERMANENT-002
VNS-21,Shitala Mata Temple (Varanasi),Varanasi/Sarnath,A,"Temple dedicated to Shitala Mata, positioned near the Ganga Aarti/Dashashwamedh zone",Retained current A/A+ canon site per the full-coverage audit,"Near VNS-03 Dashashwamedh/Shitala riverfront world but current plan gives only Shitala context/position, not a real visit block","Potentially shareable with VNS-03 evening block if a real visit slot is built, not yet confirmed","Current plan gives context/position only, not a confirmed visit block — this is the open variable",CONDITIONAL,,decisions/FULL_A_COVERAGE_AND_GLOBAL_ROUTE_TOPOLOGY_REOPTIMIZATION_2026-09-09.md sec.3 item 8,PERMANENT-039
VNS-22,"Sahi River View Guesthouse, Assi Ghat (Varanasi)",Varanasi/Sarnath,SPECIAL/ACCOMMODATION,"The locked Varanasi sleep base itself, with a desired balcony room","Personal recommendation (Debby's greetings, contact Jitendre) plus practical Assi Ghat base location","Accommodation-grade anchor, not an ordinary sightseeing visit — must not be double-counted as a content omission","N/A — this is the base, not a bundled visit",Property/contact known per prior canon; not independently re-verified here,SPECIAL_STATUS,,DECISION_LEDGER DL-0027,VNS-HOTEL-001
VNS-23,Shreyansanath Jain Tirth (Sarnath),Varanasi/Sarnath,A,Jain pilgrimage site (tirth) within the Sarnath sacred-archaeological zone,Retained A-graded site explicitly named as part of the Sarnath world's internal bundling,"Child of VNS-04 Sarnath sacred-archaeological world — named in canon as bundleable but NOT listed in the known governance MISSING/HIDDEN seed (found during CCI's own completeness self-check, not part of the original audit seed)","Yes, same Sarnath visit block as VNS-04/VNS-14 to VNS-17 per its own source citation",Not independently re-verified in this packet,HIDDEN_IN_CLUSTER,,VARANASI_LP_MARK_TIME_DECISIONS_2026-08-27.md item 11 (found by CCI during Phase-1 self-check; not present in the decisions/FULL_A_COVERAGE_AND_GLOBAL_ROUTE_TOPOLOGY_REOPTIMIZATION_2026-09-09.md seed list),PERMANENT-043
KOL-01,"Dakshineswar Kali Temple (Dakshineswar, Kolkata)",Kolkata/Dakshineswar,A+,"Ramakrishna's Kali temple, including his room and the Panchavati grove",Major Sri Ramakrishna anchor; central to the Bengal spiritual world,Parent anchor of the Kolkata/Dakshineswar world,"Yes, natural same-zone bundle with KOL-02",Site well-known; not independently re-verified here,BINDING_NOT_YET_PDF_AUDITED,,decisions/KOLKATA_DAKSHINESWAR_MARK_SITE_DECISIONS_2026-09-07.md; decisions/FINAL_TRIP_WORLDS_LOCK_2026-09-07.md,NOT_IN_PERMANENT_REGISTRY
KOL-02,"Yogoda Satsanga Math, Dakshineswar (Kolkata)",Kolkata/Dakshineswar,A+,Yogananda/Kriya ashram and YSS headquarters at Dakshineswar,Direct Yogananda/Kriya-lineage significance; preferred sleep-base candidate if eligibility/accommodation confirmed,"Standalone, adjacent to KOL-01","Yes, natural same-zone bundle with KOL-01","Site well-known; sleep-base eligibility for Mark (Ananda lineage, not YSS/SRF) is the open variable",BINDING_NOT_YET_PDF_AUDITED,,decisions/KOLKATA_DAKSHINESWAR_MARK_SITE_DECISIONS_2026-09-07.md; decisions/DAKSHINESWAR_YSS_LODGING_LINEAGE_COMPATIBILITY_2026-09-07.md,NOT_IN_PERMANENT_REGISTRY
KOL-03,"Belur Math (Belur/Howrah, near Kolkata)",Kolkata/Dakshineswar,A,"Ramakrishna Math & Mission headquarters with temples to Ramakrishna, Sarada Devi and Vivekananda",Major concentrated Ramakrishna-lineage anchor,"Standalone, across the river from Dakshineswar",Not confirmed as same-day bundle with KOL-01/KOL-02 in this packet,Site well-known; not independently re-verified here,BINDING_NOT_YET_PDF_AUDITED,,decisions/KOLKATA_DAKSHINESWAR_MARK_SITE_DECISIONS_2026-09-07.md,NOT_IN_PERMANENT_REGISTRY
KOL-04,"4 Garpar Road (Garpar, Kolkata)",Kolkata/Dakshineswar,A+,"Yogananda family home, meditation attic, Babaji-linked family-home site",Direct Yogananda biographical significance; distance from Dakshineswar does not disqualify it,"Standalone, explicit cross-city exception bundle with KOL-05","Yes, natural pairing with KOL-05 (both A+, both Yogananda-linked, in the same Garpar area)",HARD PRE-ARRIVAL ACTION REQUIRED: email in advance to ask whether a visit/access can be arranged; do not assume walk-in access,BINDING_NOT_YET_PDF_AUDITED,,decisions/KOLKATA_DAKSHINESWAR_MARK_SITE_DECISIONS_2026-09-07.md,NOT_IN_PERMANENT_REGISTRY
KOL-05,"Yogoda Satsanga Dhyana Kendra - Garpar, 37A Raja Dinendra Street (Kolkata)",Kolkata/Dakshineswar,A+,Living YSS/Yogananda meditation centre with regular public group meditations/satsangas,Direct Yogananda/Kriya-lineage significance; opportunity to attend an actual group meditation,"Standalone, distinct site from KOL-04 (do not conflate the two)","Yes, natural pairing with KOL-04 in the same Garpar area",Regular meditations confirmed on the official YSS page; exact Jan-2027 schedule = LIVE_RECHECK_LATER (call ahead),BINDING_NOT_YET_PDF_AUDITED,,decisions/KOLKATA_DAKSHINESWAR_MARK_SITE_DECISIONS_2026-09-07.md,NOT_IN_PERMANENT_REGISTRY
TIR-01,Arunachala / Ramana sacred world (Tiruvannamalai),Tiruvannamalai/Arunachala,A+,The sacred mountain Arunachala and its association with Sri Ramana Maharshi,"Strong personal attraction for Mark; experiential/low-tempo world, not checklist pacing",Parent world; TIR-02 to TIR-08 are its protected A children,"Yes, the whole world is experienced across the multi-night stay, not a single bundled visit",Well-known sacred mountain/town; not independently re-verified here,BINDING_NOT_YET_PDF_AUDITED,,decisions/ARUNACHALA_TIRUVANNAMALAI_A_ANCHOR_2026-08-18.md; DECISION_LEDGER DL-0019/DL-0033,NOT_IN_PERMANENT_REGISTRY
TIR-02,Sri Ramanasramam (Tiruvannamalai),Tiruvannamalai/Arunachala,A,Ramana Maharshi's ashram; desired ashram sleep experience #2 if accepted/available,Central Ramana devotional site; one standalone full immersion day is part of the current duration design,Child of TIR-01; may also function as an accommodation candidate,"Yes, standalone full-immersion day protected within the multi-night stay",Ashram acceptance/availability = LIVE_RECHECK_LATER,BINDING_NOT_YET_PDF_AUDITED,,DECISION_LEDGER DL-0016/DL-0033; TIRUVANNAMALAI_SRI_RAMANASRAMAM_STAY_MODEL_2026-08-30.md,NOT_IN_PERMANENT_REGISTRY
TIR-03,"Virupaksha Cave (Arunachala, Tiruvannamalai)",Tiruvannamalai/Arunachala,A,Cave on Arunachala where Ramana Maharshi lived for several years,Core Ramana biographical/pilgrimage site,Child of TIR-01,"Yes, part of the Arunachala pilgrimage circuit alongside TIR-04",Well-known site; not independently re-verified here,BINDING_NOT_YET_PDF_AUDITED,,DECISION_LEDGER DL-0033,NOT_IN_PERMANENT_REGISTRY
TIR-04,"Skandashram (Arunachala, Tiruvannamalai)",Tiruvannamalai/Arunachala,A,"Hermitage on Arunachala where Ramana Maharshi later lived, above Virupaksha Cave",Core Ramana biographical/pilgrimage site,"Child of TIR-01, physically near TIR-03","Yes, natural same-visit pairing with TIR-03 (short climb apart)",Well-known site; not independently re-verified here,BINDING_NOT_YET_PDF_AUDITED,,DECISION_LEDGER DL-0033,NOT_IN_PERMANENT_REGISTRY
TIR-05,Arunachaleswarar / Annamalaiyar Temple (Tiruvannamalai),Tiruvannamalai/Arunachala,A,"Major Shiva temple at the base of Arunachala, one of the largest temple complexes in India",Core sacred-site content of the Arunachala world,Child of TIR-01,"Yes, town-center anchor, combinable with Girivalam start/end (TIR-08)",Well-known temple; not independently re-verified here,BINDING_NOT_YET_PDF_AUDITED,,DECISION_LEDGER DL-0033,NOT_IN_PERMANENT_REGISTRY
TIR-06,Gurumurtam (Tiruvannamalai),Tiruvannamalai/Arunachala,A,Site associated with Ramana Maharshi's early period in Tiruvannamalai,Ramana biographical relevance,Child of TIR-01,Not independently confirmed in this packet,Site known; not independently re-verified here,BINDING_NOT_YET_PDF_AUDITED,,DECISION_LEDGER DL-0033,NOT_IN_PERMANENT_REGISTRY
TIR-07,"Pavalakunru (Arunachala, Tiruvannamalai)",Tiruvannamalai/Arunachala,A,"A spur/hill of Arunachala with its own temple, associated with early Ramana-era history",Ramana biographical/pilgrimage relevance,Child of TIR-01,Not independently confirmed in this packet,Site known; not independently re-verified here,BINDING_NOT_YET_PDF_AUDITED,,DECISION_LEDGER DL-0033,NOT_IN_PERMANENT_REGISTRY
TIR-08,"Giripradakshina / Girivalam, 14km circuit (Arunachala, Tiruvannamalai)",Tiruvannamalai/Arunachala,A,14km circumambulation walk around the base of Arunachala,Central pilgrimage practice at Arunachala,Child of TIR-01; operational start/end point is Mark's actual sleep base per Mark's explicit walk-execution rule,"Yes, town/temple sites (e.g. TIR-05) lie directly on or near the circuit","Start/end = actual sleep base, not an artificial trailhead; route app labels should not override this",BINDING_NOT_YET_PDF_AUDITED,,DECISION_LEDGER DL-0033/DL-0052,NOT_IN_PERMANENT_REGISTRY
TIR-09,The Dreaming Tree (Tiruvannamalai),Tiruvannamalai/Arunachala,A,Café/restaurant in Tiruvannamalai,Positive Mark restaurant/food interest,"Standalone FINAL-COMFORT restaurant, zero independent sightseeing/day/night weight","Yes, incidental, no dedicated slot",Not independently re-verified here,FINAL_COMFORT_ZERO_INDEPENDENT_WEIGHT_MUST_NOT_ARGUE_FOR_EXTRA_NIGHTS,,runs/active/INDIA10-CLUSTER-COVERAGE-REAUDIT-001/TIRUVANNAMALAI_FILE_INDEX.md (successor lesson 1); governance/CURRENT_DECISIONS_MASTER.md sec.11,NOT_IN_PERMANENT_REGISTRY
TIR-10,The Inner Child (Tiruvannamalai),Tiruvannamalai/Arunachala,A,Café/restaurant in Tiruvannamalai,Positive Mark restaurant/food interest,"Standalone FINAL-COMFORT restaurant, zero independent weight","Yes, incidental, no dedicated slot",Not independently re-verified here,FINAL_COMFORT_ZERO_INDEPENDENT_WEIGHT,,runs/active/INDIA10-CLUSTER-COVERAGE-REAUDIT-001/TIRUVANNAMALAI_FILE_INDEX.md; governance/CURRENT_DECISIONS_MASTER.md sec.11,NOT_IN_PERMANENT_REGISTRY
TIR-11,Amutham (Tiruvannamalai),Tiruvannamalai/Arunachala,A,Restaurant in Tiruvannamalai,Positive Mark restaurant/food interest,"Standalone FINAL-COMFORT restaurant, zero independent weight","Yes, incidental, no dedicated slot",Not independently re-verified here,FINAL_COMFORT_ZERO_INDEPENDENT_WEIGHT,,governance/CURRENT_DECISIONS_MASTER.md sec.11,NOT_IN_PERMANENT_REGISTRY
VNS-24,Lahiri Mahasaya Samadhi / Satyalok (Varanasi),Varanasi/Sarnath,A,"Samadhi/memorial shrine site of Lahiri Mahasaya, the Kriya Yoga guru, distinct from his family home (VNS-20)",Direct Kriya-lineage significance for Mark; a physically separate site from the family home and previously entirely absent from the ledger,"Standalone; part of the same Varanasi Kriya core devotional world as VNS-20 (family home) but a distinct physical location, must not be merged into it","Possibly bundleable with VNS-20 on the same devotional-day block, not independently confirmed in this packet",Not independently re-verified in this packet; LIVE_RECHECK_LATER on exact access,MISSING,,PROTECTED_CANON_BASELINE.csv id 001; found missing during CCI's WORK-audit repair pass (2026-09-10),PERMANENT-001
VNS-25,Shri Tailanga Swami Math (Varanasi),Varanasi/Sarnath,A,"Math/shrine associated with the 19th-century yogi Tailanga Swami, in the Panchganga Ghat area",Sacred-world anchor of the Panchganga/Tailanga devotional cluster for Mark's yoga-lineage interest,Standalone; forms the same Panchganga/Tailanga sacred-world microcluster as VNS-29 (Panchganga Ghat) and VNS-36 (Bindu Madhav Temple),"Yes, natural same-block bundle with VNS-29/VNS-36",Not independently re-verified in this packet; LIVE_RECHECK_LATER on exact access,MISSING,,PROTECTED_CANON_BASELINE.csv id 004; MARK_DECISIONS_2026-08-02.jsonl VNS-CAND-004 (A); found missing during CCI's WORK-audit repair pass (2026-09-10),PERMANENT-004
VNS-26,"Shree Shree Ma Anandamayi Ashram, Bhadaini (Varanasi)",Varanasi/Sarnath,A+,Visitable ashram of Sri Anandamayi Ma in the Bhadaini area,"Direct devotional significance to a major 20th-century Bengali saint; explicitly listed as a standalone A+ anchor in the current A+ spine, not merely a member of the older Bhadaini-Assi A cluster","Standalone A+ anchor, geographically near the Assi/Bhadaini world (VNS-08, VNS-28)","Yes, plausibly bundled with the Assi Ghat/Bhadaini morning block",Not independently re-verified in this packet; LIVE_RECHECK_LATER on exact access,MISSING,,"runs/active/INDIA10-CLUSTER-COVERAGE-REAUDIT-001/A_PLUS_MARK_DECISION_LOG.md 'CURRENT A+ SPINE' (2026-08-27, standalone A+ line, superseding the 2026-08-02 cluster-level A); found missing during CCI's WORK-audit repair pass (2026-09-10)",PERMANENT-005
VNS-27,Shri Kashi Vishwanath Temple (Varanasi),Varanasi/Sarnath,A,"Major Jyotirlinga Shiva temple, the central shrine of sacred Kashi, in the Old City temple zone",One of the most significant living Hindu shrines in Varanasi; core member of the Kashi Vishwanath old-city temple cluster alongside Annapurna (VNS-11) and Vishalakshi Gauri (VNS-12),"Standalone core of the Kashi Vishwanath Old City temple microcluster (siblings VNS-11, VNS-12)","Yes, natural same-block bundle with VNS-11/VNS-12",Not independently re-verified in this packet; LIVE_RECHECK_LATER on exact access (heavy security/queue zone),MISSING,,PROTECTED_CANON_BASELINE.csv id 007; MARK_DECISIONS_2026-08-02.jsonl CLUSTER_DECISION VISHWANATH_OLD_CITY members 007/014/017 all_status A; found missing during CCI's WORK-audit repair pass (2026-09-10),PERMANENT-007
VNS-28,Assi Ghat (Varanasi),Varanasi/Sarnath,A+,"Southernmost major ghat on the Ganges, morning/pilgrimage anchor of the Bhadaini-Assi world","Explicitly listed as a standalone A+ anchor in the current A+ spine; the physical ghat itself, not merely the dawn walk/Subah-e-Banaras experiences named after it",Standalone A+ physical anchor; VNS-08 (dawn walk) and VNS-09 (Subah-e-Banaras) are experiences that happen AT this ghat but do not themselves satisfy the one-row-per-physical-entity requirement for the ghat itself,"Yes, shares its world with VNS-08/VNS-09/VNS-26",Not independently re-verified in this packet; LIVE_RECHECK_LATER on exact access,MISSING,,"runs/active/INDIA10-CLUSTER-COVERAGE-REAUDIT-001/A_PLUS_MARK_DECISION_LOG.md 'CURRENT A+ SPINE' (2026-08-27, standalone A+ line, superseding the 2026-08-02 cluster-level A); found missing during CCI's WORK-audit repair pass (2026-09-10)",PERMANENT-010
VNS-29,Panchganga Ghat (Varanasi),Varanasi/Sarnath,A,"Ganges ghat at the confluence traditionally of five rivers, in the Tailanga Swami/Panchganga sacred world",Core physical anchor of the Panchganga sacred-world microcluster alongside Tailanga Swami Math (VNS-25) and Bindu Madhav Temple (VNS-36),"Standalone, same microcluster as VNS-25/VNS-36","Yes, natural same-block bundle with VNS-25/VNS-36",Not independently re-verified in this packet; LIVE_RECHECK_LATER on exact access,MISSING,,PROTECTED_CANON_BASELINE.csv id 011; MARK_DECISIONS_2026-08-02.jsonl VNS-CAND-011 (A); found missing during CCI's WORK-audit repair pass (2026-09-10),PERMANENT-011
VNS-30,Sankat Mochan Hanuman Temple (Varanasi),Varanasi/Sarnath,A,"Living Hanuman temple traditionally connected to the poet-saint Tulsidas, south Varanasi","Major living devotional temple in the Durga Kund/south-Varanasi temple zone, reconfirmed A on 2026-08-27","Standalone, part of the Durga Kund/south-Varanasi microcluster alongside VNS-31","Yes, natural same-block bundle with VNS-31 (Durga Temple/Durga Kund)",Not independently re-verified in this packet; LIVE_RECHECK_LATER on exact access,MISSING,,"PROTECTED_CANON_BASELINE.csv id 015; A_PLUS_MARK_DECISION_LOG.md 'LATEST VARANASI ORDINARY GRADES -- MARK 2026-08-27' (A, reconfirmed); found missing during CCI's WORK-audit repair pass (2026-09-10)",PERMANENT-015
VNS-31,Durga Temple and Durga Kund (Varanasi),Varanasi/Sarnath,A,"Red-painted living Durga temple with an adjoining sacred tank, south Varanasi","Major living devotional temple/tank complex in the same south-Varanasi temple zone as Sankat Mochan (VNS-30), reconfirmed A on 2026-08-27","Standalone, part of the Durga Kund/south-Varanasi microcluster alongside VNS-30","Yes, natural same-block bundle with VNS-30",Not independently re-verified in this packet; LIVE_RECHECK_LATER on exact access,MISSING,,"PROTECTED_CANON_BASELINE.csv id 016; A_PLUS_MARK_DECISION_LOG.md 'LATEST VARANASI ORDINARY GRADES -- MARK 2026-08-27' (A, reconfirmed); found missing during CCI's WORK-audit repair pass (2026-09-10)",PERMANENT-016
VNS-32,Sankatha Devi Temple (Varanasi),Varanasi/Sarnath,A,Devi temple in the Manikarnika/Panchganga old-city ghat-walk corridor,Route-side devotional stop on the same core ghat walk as Manikarnika Ghat (VNS-01); Mark-graded A as immediate route-side content,"Child/route-side member of the Manikarnika-Lalita-Panchganga-Scindia ghat-walk world (VNS-01, VNS-34, VNS-35, VNS-36)","Yes, same ghat-walk block as VNS-01",Not independently re-verified in this packet; LIVE_RECHECK_LATER on exact access,MISSING,,"PROTECTED_CANON_BASELINE.csv id 018; MARK_DECISIONS_2026-08-02.jsonl VNS-CAND-018 (A, 'immediate route-side bycatch'); found missing during CCI's WORK-audit repair pass (2026-09-10)",PERMANENT-018
VNS-33,Kedareshwar Temple and Kedar Ghat (Varanasi),Varanasi/Sarnath,A,"Shiva temple and adjoining ghat on the Ganges, south-central old city",Living devotional temple/ghat; governance explicitly protects this as immutable A and forbids any 'older route prose' downgrade to B,Standalone old-city temple/ghat site,Not independently confirmed as a same-day bundle in this packet,"Exact Google Maps-linked marker 25.2995855, 83.0060964 per handoffs/INDIA8_TO_INDIA9_QUARTER_HOUR_PLANNING_DELTA_2026-08-23.md",MISSING,,PROTECTED_CANON_BASELINE.csv id 019; governance/INDIA9_CANON_RECONCILIATION_2026-08-23.md (explicit: 'immutable VNS decisions 019=A ... not allowed to be overridden by older route prose labeling it B'); found missing during CCI's WORK-audit repair pass (2026-09-10),PERMANENT-019
VNS-34,Lalita Ghat (Varanasi),Varanasi/Sarnath,A,"Ganges ghat with a Nepalese wooden pagoda temple, in the Manikarnika ghat-walk corridor",Route-side devotional/architectural stop on the same core ghat walk as Manikarnika Ghat (VNS-01),Route-side member of the Manikarnika-Lalita-Panchganga-Scindia ghat-walk world (VNS-01),"Yes, same ghat-walk block as VNS-01",Not independently re-verified in this packet; LIVE_RECHECK_LATER on exact access,MISSING,,"PROTECTED_CANON_BASELINE.csv id 020; MARK_DECISIONS_2026-08-02.jsonl VNS-CAND-020 (A, 'immediate route-side bycatch'); found missing during CCI's WORK-audit repair pass (2026-09-10)",PERMANENT-020
VNS-35,Nepali Temple / Kathwala Temple (Varanasi),Varanasi/Sarnath,A,Nepalese-style wooden pagoda temple at/near Lalita Ghat,Route-side architectural/devotional stop on the same core ghat walk as Manikarnika Ghat (VNS-01) and Lalita Ghat (VNS-34),Route-side member of the Manikarnika-Lalita-Panchganga-Scindia ghat-walk world,"Yes, same ghat-walk block as VNS-01/VNS-34",Not independently re-verified in this packet; LIVE_RECHECK_LATER on exact access,MISSING,,"PROTECTED_CANON_BASELINE.csv id 021; MARK_DECISIONS_2026-08-02.jsonl VNS-CAND-021 (A, 'immediate route-side bycatch'); found missing during CCI's WORK-audit repair pass (2026-09-10)",PERMANENT-021
VNS-36,Bindu Madhav Temple (Varanasi),Varanasi/Sarnath,A,Vishnu temple in the Panchganga Ghat area,Core physical anchor of the Panchganga sacred-world microcluster alongside Tailanga Swami Math (VNS-25) and Panchganga Ghat (VNS-29),"Standalone, same microcluster as VNS-25/VNS-29","Yes, natural same-block bundle with VNS-25/VNS-29",Not independently re-verified in this packet; LIVE_RECHECK_LATER on exact access,MISSING,,PROTECTED_CANON_BASELINE.csv id 022; MARK_DECISIONS_2026-08-02.jsonl VNS-CAND-022 (A); found missing during CCI's WORK-audit repair pass (2026-09-10),PERMANENT-022
VNS-37,Kabir Chaura Math (Varanasi),Varanasi/Sarnath,A,Living centre of the mystic-poet Kabir and the Kabir Panth tradition,Devotional/literary-tradition significance; reconfirmed A on 2026-08-27,"Standalone, near the Lahartara Kabir birthplace memorial (B, not in this ledger's scope)",Not independently confirmed as a same-day bundle in this packet,Not independently re-verified in this packet; LIVE_RECHECK_LATER on exact access,MISSING,,"PROTECTED_CANON_BASELINE.csv id 024; A_PLUS_MARK_DECISION_LOG.md 'LATEST VARANASI ORDINARY GRADES -- MARK 2026-08-27' (A, reconfirmed); found missing during CCI's WORK-audit repair pass (2026-09-10)",PERMANENT-024
VNS-38,Sarnath Archaeological Museum (Sarnath),Varanasi/Sarnath,A,"Museum holding excavated Sarnath finds including the Ashoka Lion Capital replica, within the Sarnath archaeological complex",Buddhist-heritage/general-traveler content inside the Sarnath world; named individually in canon rather than swallowed by the broad Sarnath label,Child of VNS-04 Sarnath sacred-archaeological world,"Yes, same Sarnath visit block as VNS-04/VNS-14 to VNS-17/VNS-23",Not independently re-verified in this packet; opening hours = LIVE_RECHECK_LATER,HIDDEN_IN_CLUSTER,,PROTECTED_CANON_BASELINE.csv id 032; found hidden inside the broad Sarnath parent label during CCI's WORK-audit repair pass (2026-09-10),PERMANENT-032
VNS-39,Tulsi Ghat (Varanasi),Varanasi/Sarnath,A,"Ganges ghat named for the poet-saint Tulsidas, in the Bhadaini-Assi world",Distinct physical ghat in the Bhadaini-Assi devotional world; naming it only inside the Assi-Tulsi dawn walk (VNS-08) does not give it its own recognizable visit block,"Standalone member of the Bhadaini-Assi world alongside VNS-28 (Assi Ghat), VNS-26 (Anandamayi Ashram) and VNS-40 (Lolark Kund)","Yes, natural same-block bundle with VNS-08/VNS-28/VNS-40",Not independently re-verified in this packet; LIVE_RECHECK_LATER on exact access,HIDDEN_IN_CLUSTER,,PROTECTED_CANON_BASELINE.csv id 036; MARK_DECISIONS_2026-08-02.jsonl VNS-CAND-036 (A); found hidden inside the Assi-Tulsi walk name during CCI's WORK-audit repair pass (2026-09-10),PERMANENT-036
VNS-40,Lolark Kund (Varanasi),Varanasi/Sarnath,A,Old stepped sun/fertility ritual tank in the Bhadaini-Assi world,"Distinct physical sacred tank in the Bhadaini-Assi devotional world, separate from Tulsi Ghat (VNS-39) though adjacent",Standalone member of the Bhadaini-Assi world alongside VNS-39,"Yes, natural same-block bundle with VNS-39/VNS-28",Not independently re-verified in this packet; LIVE_RECHECK_LATER on exact access,MISSING,,PROTECTED_CANON_BASELINE.csv id 037; MARK_DECISIONS_2026-08-02.jsonl VNS-CAND-037 (A); found missing during CCI's WORK-audit repair pass (2026-09-10),PERMANENT-037
VNS-41,Adi Keshava Ghat + Temple (Varanasi),Varanasi/Sarnath,A,"Old Vishnu shrine at the Varuna-Ganges confluence, the classical northern boundary of sacred Kashi",Historically/geographically significant boundary shrine of sacred Kashi; explicitly resolved to A on 2026-08-24,"Standalone, northern old-city boundary site",Not independently confirmed as a same-day bundle in this packet,Not independently re-verified in this packet; LIVE_RECHECK_LATER on exact access,MISSING,,"runs/active/INDIA10-CLUSTER-COVERAGE-REAUDIT-001/CURRENT_OLD_A_PROMOTION_MASTER.md (2026-08-24, RESOLVED A); A_PLUS_MARK_DECISION_LOG.md 'LATEST VARANASI ORDINARY GRADES -- MARK 2026-08-27' (A, reconfirmed); found missing during CCI's WORK-audit repair pass (2026-09-10)",PERMANENT-045
VNS-42,"Alamgir Mosque / Dharahara (Panchganga, Varanasi)",Varanasi/Sarnath,A*,Mosque built on the site of a former Vishnu temple (Beni Madhav ka Darahara) overlooking Panchganga Ghat,Architectural/historical curiosity only because Mark is already at the A+ Tailanga/Panchganga world; no independent pilgrimage claim of its own,"SKIP_FIRST corridor-bycatch of the Panchganga/Tailanga world (VNS-25/VNS-29/VNS-36), not a dedicated excursion","Yes, only as an incidental view/stop while already at Panchganga Ghat, first item to drop if the block runs long",Not independently re-verified in this packet; interior access may be restricted,MISSING,,"runs/active/INDIA10-CLUSTER-COVERAGE-REAUDIT-001/A_PLUS_MARK_DECISION_LOG.md 'LATEST VARANASI ORDINARY GRADES -- MARK 2026-08-27' (A* only, SKIP_FIRST); found missing during CCI's WORK-audit repair pass (2026-09-10)",NOT_IN_PERMANENT_REGISTRY
BOD-07,"International monastery belt (Thai, Bhutanese, Japanese and other monasteries around Mahabodhi, Bodh Gaya)",Bodh Gaya,A,Low-burden walking layer of 2-3 visually/culturally distinct international Buddhist monasteries near Mahabodhi,"Mark reaction 'zeker zien' (definitely want to see); genuine Mark A-grade for the international-monastery walking layer, explicit and dated","Standalone, low-burden flexible walking content near BOD-01/BOD-04; must not become a checklist of every monastery or a dedicated half/full day","Yes, roughly 45-75 minutes flexible walking among 2-3 monasteries when compatible with Mahabodhi/Great Buddha geography and opening hours; must not displace longer time at BOD-01",Not independently re-verified in this packet; individual monastery opening hours = LIVE_RECHECK_LATER,MISSING,,decisions/BODHGAYA_INTERNATIONAL_MONASTERY_BELT_MARK_DECISION_2026-09-04.md; governance/CURRENT_DECISIONS_MASTER.md sec.9; found missing during CCI's WORK-audit repair pass (2026-09-10),NOT_IN_PERMANENT_REGISTRY
