A_ID,source_id,location,physical_description,linked_people,exact_event_or_presence,PHYSICAL_LINK_CLASS,meaningful_subplace,evidence_sources,strongest_FOR,strongest_AGAINST,WORK_RELEVANCE_SIGNAL,dwell,new_fact
A060,VNS-18,Saranganath Temple,"Living Shiva temple associated with Sarnath's name tradition",NONE,"No exact priority-person event established",NAME_ONLY_OR_NO_PERSON_LINK,"sanctum and local worship","frozen ledger VNS-18 provenance; clock PDF; local temple histories","Shows Sarnath as a multi-religious living place","Late-day add-on with weak differentiated provenance",WEAK,VISIT,"Relevance is local continuity, not Buddha event-site status"
A061,KOL-01,Dakshineswar Kali Temple,"Historic Kali temple complex on the Hooghly",Ramakrishna;Sarada Devi;Vivekananda;Yogananda,"Ramakrishna served/lived here; Sarada lived in Nahabat; Vivekananda visited; Yogananda made documented pilgrimages/AOAY site-memory",EXACT_LIFE_SITE,"Ramakrishna room; Kali shrine; Panchavati; Nahabat","frozen ledger KOL-01 provenance; clock PDF; official temple histories; commit 55f4498","Exceptionally dense multi-person exact-life-site with multiple encounterable subplaces","Crowds/opening controls may fragment the intended deep visit",VERY_STRONG,PILGRIMAGE_BLOCK,"PDF generic wording understates four distinct person layers"
A062,KOL-02,Yogoda Satsanga Math Dakshineswar,"YSS headquarters/ashram established for Calcutta work",Yogananda,"Yogananda organized the permanent center in 1935-36; present Math dedicated 1939 and appears in AOAY institutional history",DIRECT_INSTITUTIONAL,"meditation hall; Yogananda institutional-history displays/rooms if documented","frozen ledger KOL-02 provenance; clock PDF; https://yssofindia.org/ashrams/dakshineswar; commit 55f4498","Direct authoritative Yogananda institutional legacy beside Dakshineswar","Exact physical use of every present building by Yogananda is not proved",VERY_STRONG,SIT_60M_OR_MORE,"Direct institutional is the accurate class; avoid blanket exact-life-site language"
A063,KOL-03,Belur Math,"Ramakrishna Order headquarters and riverside monastery complex",Vivekananda;Ramakrishna;Sarada Devi;Brahmananda,"Vivekananda founded it and placed Ramakrishna relics; campus holds samadhi/relic temples and Vivekananda's room/death site",EXACT_LIFE_SITE,"Vivekananda room; his samadhi temple; Ramakrishna temple/relics; Sarada and Brahmananda temples; museum","frozen ledger KOL-03 provenance; clock PDF; https://belurmath.org/","Extraordinary concentration of exact Vivekananda life/death and Ramakrishna Order relic geography","Large campus requires target discipline; some sancta/rooms have limited hours",VERY_STRONG,PILGRIMAGE_BLOCK,"Major understatement: it is not merely a headquarters or architecture stop"
A064,KOL-04,4 Garpar Road,"Yogananda's historic Kolkata family house",Yogananda;Mahavatar Babaji,"Yogananda grew up here; rooftop/family photo history and AOAY-era Babaji appearance tradition attach to the house",EXACT_LIFE_SITE,"family rooms/rooftop and documented Babaji-appearance room if access is authenticated","frozen ledger KOL-04 provenance; clock PDF; SRI_YUKTESWAR_RECONCILIATION; YSS/AOAY sources","One of the most intimate surviving Yogananda life-sites","Private access, exact room and present authenticity require confirmation",VERY_STRONG,PILGRIMAGE_BLOCK,"Do not substitute the nearby current YSS center for this historic house"
A065,KOL-05,YSS Dhyana Kendra Garpar at 37A Raja Dinendra Street,"Current YSS meditation center near Garpar",Yogananda,"Living successor institution; not the historic 4 Garpar Road family house",MEMORIAL_OR_SUCCESSOR,"meditation hall and YSS devotional practice","frozen ledger KOL-05 provenance; clock PDF; YSS center listing; commit 55f4498","Accessible living Yogananda practice if the family house is closed","Can obscure rather than deliver the exact historic site",STRONG,SIT_60M_OR_MORE,"Critical address distinction: current center is successor, A064 is exact house"
A066,TIR-01,Arunachala / Ramana sacred mountain world,"Sacred mountain dominating Tiruvannamalai",Ramana Maharshi,"Ramana identified Arunachala as guru/self and lived on/around it for most of his life",EXACT_LIFE_SITE,"mountain presence/view and integrated cave-temple-ashram geography","frozen ledger TIR-01 provenance; clock PDF; https://www.gururamana.org/","Foundational person-place relationship shaping every Ramana site","Parent world can double-count individual mountain sites",VERY_STRONG,PILGRIMAGE_BLOCK,"Treat as integrating sacred geography, not a token 45-minute viewpoint"
A067,TIR-09,The Dreaming Tree,"Contemporary café/restaurant in Tiruvannamalai",NONE,"No exact priority-person event",NAME_ONLY_OR_NO_PERSON_LINK,"actual venue meal/rest setting","frozen ledger TIR-09 provenance; clock PDF; current venue listing later","Humane decompression and traveler community","Commercial venue; continuity/hours and spiritual relevance weak",WEAK,VISIT,"Its relevance is recovery, not Ramana provenance"
A068,TIR-03,Virupaksha Cave,"Mountain cave where Ramana lived for many years",Ramana Maharshi,"Principal residence approximately 1899-1916 and teaching/visitor site",EXACT_LIFE_SITE,"cave interior and stone platform","frozen ledger TIR-03 provenance; clock PDF; https://www.gururamana.org/","Long-duration exact residence with unusually intact meditation scale","Uphill access and crowd/silence conditions vary",VERY_STRONG,SIT_60M_OR_MORE,"Duration and teaching history make this more than a generic cave stop"
A069,TIR-04,Skandashram,"Stone ashram on Arunachala above Virupaksha Cave",Ramana Maharshi;Alagammal,"Ramana lived here around 1916-1922; his mother joined him and died here",EXACT_LIFE_SITE,"ashram room/platform and mother-associated area","frozen ledger TIR-04 provenance; clock PDF; https://www.gururamana.org/","Exact mature hill residence and mother-son turning point","Steep combined visit creates physical burden and exact interior access may vary",VERY_STRONG,SIT_60M_OR_MORE,"Mother's final period is a distinct biographical layer often omitted"
A070,TIR-06,Gurumurtam,"Small shrine/building where young Ramana stayed",Ramana Maharshi,"Early post-arrival residence approximately 1897-1898",EXACT_LIFE_SITE,"inner room/shrine associated with his stay","frozen ledger TIR-06 provenance; clock PDF; Ramanasramam biographies","Rare early-life site showing radical withdrawal before mountain settlement","Modest fabric and uncertain opening can make it visually slight",STRONG,SIT_30M,"Its relevance is chronological specificity, not scale"
A071,TIR-07,Pavalakunru,"Small hill shrine where young Ramana stayed",Ramana Maharshi;Alagammal,"Early residence; associated with his mother's plea for him to return home",EXACT_LIFE_SITE,"shrine/cave area and encounter setting","frozen ledger TIR-07 provenance; clock PDF; Ramanasramam biographies","Exact emotionally charged early-family episode","Access/opening and exact micro-spot need local confirmation",STRONG,SIT_30M,"Mother's visit supplies a precise event, not just another early shelter"
A072,TIR-10,The Inner Child,"Contemporary restaurant/café",NONE,"No exact priority-person event",NAME_ONLY_OR_NO_PERSON_LINK,"actual venue meal/rest setting","frozen ledger TIR-10 provenance; clock PDF; current venue listing later","Humane nutrition/recovery function","Commercial and replaceable; no person provenance",WEAK,VISIT,"Should be described as support infrastructure, not sacred content"
A073,TIR-08,Giripradakshina / Girivalam 14 km circuit,"Full ritual circumambulation road/path around Arunachala",Ramana Maharshi,"Ramana repeatedly walked/endorsed circumambulation; living pilgrimage practice continues",EXACT_LIFE_SITE,"whole circuit with selected lingam/rest nodes","frozen ledger TIR-08 provenance; clock PDF; https://www.gururamana.org/; HRCE sources","Embodied practice directly shared with Ramana's life-world","Substantial physical burden; traffic and pace can overpower contemplative aim",VERY_STRONG,PILGRIMAGE_BLOCK,"Directness lies in repeated practice and landscape, not one building"
A074,TIR-05,Arunachaleswarar / Annamalaiyar Temple,"Vast historic Shiva temple complex at mountain foot",Ramana Maharshi,"Ramana arrived here in 1896; stayed in temple zones including Patala Lingam before later residences",EXACT_LIFE_SITE,"Patala Lingam vault; thousand-pillared hall; Subramanya shrine; main sanctum axis","frozen ledger TIR-05 provenance; clock PDF; https://annamalaiyar.hrce.tn.gov.in/; Ramanasramam biography","Multiple exact early-awakening subplaces inside a major living temple","Two hours may be tight; queues and identifying micro-sites require preparation",VERY_STRONG,PILGRIMAGE_BLOCK,"Major understatement: name alone hides the Patala Lingam and arrival biography"
A075,TIR-11,Amutham,"Contemporary vegetarian restaurant",NONE,"No exact priority-person event",NAME_ONLY_OR_NO_PERSON_LINK,"actual meal venue","frozen ledger TIR-11 provenance; clock PDF; current venue listing later","Practical nourishment after Girivalam/temple day","Replaceable commercial stop without lineage meaning",WEAK,VISIT,"Support function only; live opening check needed"
A076,TIR-02,Sri Ramanasramam,"Living ashram built around Ramana's final residence and samadhi",Ramana Maharshi;Alagammal,"Ramana lived here 1922-1950 and died here; mother's and Ramana's samadhis remain",EXACT_LIFE_SITE,"Old Hall; Ramana samadhi; Mother's Shrine/samadhi; Nirvana Room; dining/practice spaces","frozen ledger TIR-02 provenance; clock PDF; https://www.gururamana.org/","Extremely dense exact residence-death-relic-practice complex suited to immersion","Institutional timetable and crowds can segment sitting",VERY_STRONG,PILGRIMAGE_BLOCK,"Four-and-a-half hours is justified by multiple distinct exact subplaces"
A077,DEL-01,Nirmal Dham / Shri Mataji Nirmala Devi Ashram,"Sahaja Yoga ashram and Shri Mataji's samadhi complex",Shri Mataji Nirmala Devi,"Her physical remains/samadhi are here; living Sahaja practice continues",EXACT_LIFE_SITE,"samadhi; meditation hall; documented personal-use areas if any","frozen ledger DEL-01 provenance; clock PDF; https://shrimataji.org/; Sahaja Yoga India","Direct funerary/samadhi anchor plus active lineage practice","Access/protocol and exact opening require host confirmation",VERY_STRONG,PILGRIMAGE_BLOCK,"Specify samadhi as the exact physical link rather than generic ashram association"
A078,DEL-03,Lotus Temple / Baha'i House of Worship,"Modern Baha'i house of worship shaped as a lotus",Baha'u'llah;Baha'i community,"Direct living institutional worship site; founder had no physical presence in Delhi building",DIRECT_INSTITUTIONAL,"silent central prayer hall","frozen ledger DEL-03 provenance; clock PDF; https://www.bahai.org/places-of-worship/","Architecturally powerful interfaith silence with real sitting potential","No AOAY/Top-11 link; queues/closure can compress interior time",STRONG,SIT_60M_OR_MORE,"Its strength is current practice and silence, not person provenance"
A079,DEL-02,PVR Priya IMAX,"Commercial large-format cinema in Vasant Vihar",NONE,"No priority-person event",NAME_ONLY_OR_NO_PERSON_LINK,"specific auditorium/show only after live programming check","frozen ledger DEL-02 provenance; clock PDF; https://www.pvrcinemas.com/","Potential joyful decompression and personally desired cinema experience","No guaranteed suitable film/showtime and no spiritual provenance",WEAK,VISIT,"Physical relevance remains conditional until the 20 January programme exists"
